Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
SR1-N	5	Santa Cruz	Santa Cruz	16.719	368.06	2.696	500014132	BEGIN HWY 17 NB AND HWY 1 NB SEP	2	Mainline	radars	No	1	
SR1-N	4	San Francisco	San Francisco	6.29	443.388	3.312	416144	500' N of Lake St	2	Mainline	radars	No	DT150	U2-N-34-001-00629
SR1-S	12	Orange		12.78	12.791	2.79	1221169	CRYSTAL HEIGHTS	1	Mainline		No	2553	
SR1-S	12	Orange		13.36	13.371	1.825	1221162	1 SB LOS TRANCOS	1	Mainline		No	2552	
SR1-S	12	Orange	Newport Beach	16.43	16.441	1.825	1221149	1 SB AVOCADO AVE	1	Mainline		No	2551	
SR1-S	12	Orange	Newport Beach	17.01	17.021	.595	1221144	1 NB IRVINE TERRACE	1	Mainline		No	2550	
SR1-S	12	Orange	Newport Beach	17.62	17.631	.53	1221277	1 SB PROMONTORY PT	1	Mainline		No	2549	
SR1-S	12	Orange	Newport Beach	18.07	18.081	.61	1221137	1 NB BAYSIDE DRIVE	1	Mainline		No	2548	
SR1-S	12	Orange	Newport Beach	18.83	18.851	.725	1221132	1 SB BALBOA BAY	1	Mainline		No	2547	
SR1-S	12	Orange	Newport Beach	19.51	19.531	.6	1221127	1 SB RIVERSIDE DR	1	Mainline		No	2546	
SR1-S	12	Orange	Newport Beach	20.03	20.051	2.76	1221123	1 SB N of 55	1	Mainline		No	2545	
SR1-S	5	Monterey		62.947	313.385	2.567	500011262	SOUTH OF GARRAPATA CREEK BRIDGE	1	Mainline		No	1	
SR1-S	5	Monterey		63.08	313.518	2.566	500011252	NORTH OF GARRAPATA CREEK BRIDGE	1	Mainline		No	1	
SR1-S	5	Monterey		72.331	322.8	2.714	500010012	CARMEL RIV BRIDGE MLSB	1	Mainline		No	1	
SR1-S	5	Monterey		72.758	323.227	.698	500010022	CARMEL VALLEY RD HWY 1 NB VDS ML	1	Mainline		No	1	
SR1-S	5	Monterey		73.727	324.196	.831	500010032	OCEAN AVE HWY 1 NB VDS MLSB SB	1	Mainline		No	1	
SR1-S	5	Monterey		74.42	324.889	.62	500010042	CARPENTER RD HWY 1 NB VDS MLSB S	2	Mainline		No	1	
SR1-S	5	Monterey		74.969	325.438	.567	500010052	HWY 68 WEST AT HWY 1 NB VDS MLSB	2	Mainline		No	1	
SR1-S	5	Monterey		74.97	325.439		500010053	HWY 68 WEST AT HWY 1 NB VDS ONSB	1	On Ramp		No	1	
SR1-S	5	Monterey	Monterey	R75.555	326.024	.62	500010063	MUNRAS RD HWY 1 NB VDS MLSB SB	2	Mainline		No	1	
