Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM,Latitude,Longitude,Dir,State_PM,Abs_PM,User_ID_1,_file_date,_source_file
SR1-N,5,Monterey,,95.811,344.916,,500011142,MOSS LANDING RD HWY 1 SB VDS ONN,1.0,On Ramp,,No,1,,36.799888,-121.783158,N,95.811,344.916,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,95.812,344.917,0.621,500011143,MOSS LANDING RD HWY 1 SB VDS MLN,1.0,Mainline,radars,No,1,,36.799902,-121.78316,N,95.812,344.917,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,96.418,345.523,1.191,500011151,ELKHORN SLOUGH HWY 1 NB VDS MLNB,1.0,Mainline,,No,1,,36.808654,-121.784129,N,96.418,345.523,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,98.194,347.299,1.424,500011212,STRUVE RD HWY 1 SB VDS MLNB NB,1.0,Mainline,,No,1,,36.828897,-121.77196,N,98.194,347.299,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,99.266,348.371,1.423,500011222,NORTH OF SPRINGFIELD RD HWY 1 SB,1.0,Mainline,,No,1,,36.844294,-121.771,N,99.266,348.371,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,T101.04,350.145,1.139,500011233,SALINAS RD HWY 1 SB VDS MLNB NB,2.0,Mainline,,No,1,,36.869807,-121.770107,N,T101.04,350.145,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Monterey,,R101.544,350.649,0.803,500011241,TRAFTON RD HWY 1 NB VDS MLNB NB,2.0,Mainline,,No,1,,36.87698,-121.77097,N,R101.544,350.649,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Watsonville,R0.877999999999986,352.014,,500013011,HWY 129 AT HWY 1 NB VDS OFNB NB,1.0,Off Ramp,,No,1,,36.89652,-121.775302,N,R0.877999999999986,352.014,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Watsonville,R0.879000000000019,352.015,1.07,500013012,HWY 129 AT HWY 1 NB VDS MLNB NB,2.0,Mainline,,No,1,,36.896533,-121.775311,N,R0.879000000000019,352.015,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R1.38901,352.525,0.773,500013023,HWY 129 AT HWY 1 SB VDS MLNB NB,2.0,Mainline,,No,1,,36.903101,-121.779519,N,R1.38901,352.525,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R2.425,353.561,1.005,500013031,HARKINS SLOUGH RD HWY 1 NB VDS M,2.0,Mainline,,No,1,,36.916454,-121.788076,N,R2.425,353.561,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R3.399,354.535,1.049,500013043,HWY 152 AT HWY 1 SB VDS MLNB NB,2.0,Mainline,,No,1,,36.926518,-121.800066,N,R3.399,354.535,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R4.52302,355.659,0.962,500013052,BUENA VISTA DR HWY 1 SB VDS MLNB,3.0,Mainline,,No,1,,36.933761,-121.817739,N,R4.52302,355.659,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R5.32298,356.459,1.106,500013062,MIDPOINT HWY 1 SB VDS MLNB NB,3.0,Mainline,,No,1,,36.937899,-121.8305,N,R5.32298,356.459,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R6.73501,357.871,1.143,500013071,MAR MONTE AVE AT HWY 1 NB VDS ML,2.0,Mainline,,No,1,,36.950319,-121.851566,N,R6.73501,357.871,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R7.608,358.744,0.642,500013081,MAR MONTE AVE AT HWY 1 NB VDS ML,2.0,Mainline,,No,1,,36.959977,-121.861657,N,R7.608,358.744,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,R8.01901,359.155,0.353,500013091,LARKIN VALLEY RD HWY 1 NB VDS ML,2.0,Mainline,,No,1,,36.964522,-121.866408,N,R8.01901,359.155,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,8.10899999999998,359.45,0.443,500013101,FREEDOM BLVD HWY 1 NB VDS MLNB N,2.0,Mainline,,No,1,,36.967826,-121.869774,N,8.10899999999998,359.45,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,8.7012,360.042,0.452,500013112,FREEDOM BLVD AT HWY 1 SB VDS MLN,2.0,Mainline,radars,No,1,,36.972531,-121.878642,N,8.7012,360.042,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,9.012,360.353,,500013121,RIO DEL MAR BLVD AT HWY 1 NB VDS,1.0,Off Ramp,,No,1,,36.974342,-121.883855,N,9.012,360.353,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,9.01298,360.354,0.426,500013122,RIO DEL MAR BLVD AT HWY 1 NB VDS,2.0,Mainline,,No,1,,36.974348,-121.883872,N,9.01298,360.354,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,9.553,360.894,0.652,500013132,RIO DEL MAR BLVD AT HWY 1 SB VDS,2.0,Mainline,radars,No,1,,36.975268,-121.893445,N,9.553,360.894,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,10.318,361.659,0.609,500013141,STATE PARK DR AT HWY 1 NB VDS ML,2.0,Mainline,,No,1,,36.976345,-121.907001,N,10.318,361.659,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,10.773,362.114,0.565,500013152,STATE PARK DR AT HWY 1 SB VDS ML,2.0,Mainline,radars,No,1,,36.979956,-121.91393,N,10.773,362.114,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,11.448,362.789,0.553,500014011,PARK AVE NEXT EXIT SIGN HWY 1 NB,2.0,Mainline,,No,1,,36.98308,-121.925417,N,11.448,362.789,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,11.879,363.22,0.445,500014021,PARK AVE AT HWY 1 NB VDS MLNB NB,2.0,Mainline,radars,No,1,,36.984028,-121.933172,N,11.879,363.22,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Capitola,12.338,363.679,0.576,500014032,PARK AVE AT HWY 1 SB VDS MLNB NB,2.0,Mainline,radars,No,1,,36.98406,-121.941535,N,12.338,363.679,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Capitola,13.032,364.373,0.471,500014041,BAY AVE / PORTER ST AT HWY 1 NB,2.0,Mainline,radars,No,1,,36.983544,-121.954147,N,13.032,364.373,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,13.28,364.621,0.291,500014053,BAY AVE / PORTER ST AT HWY 1 SB,2.0,Mainline,radars,No,1,,36.983147,-121.958547,N,13.28,364.621,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,13.281,364.622,,500014054,BAY AVE / PORTER ST AT HWY 1 SB,1.0,On Ramp,,No,1,,36.983145,-121.958564,N,13.281,364.622,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,13.615,364.956,0.324,500014063,41ST ST OC AT HWY 1 SB VDS MLNB,2.0,Mainline,radars,No,1,,36.982848,-121.964293,N,13.615,364.956,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,13.616,364.957,,500014064,41ST ST OC AT HWY 1 SB VDS ONNB,1.0,On Ramp,,No,1,,36.982849,-121.964311,N,13.616,364.957,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,13.929,365.27,0.397,500014072,41ST ST EXIT AT HWY 1 SB VDS MLN,2.0,Mainline,radars,No,1,,36.983207,-121.969927,N,13.929,365.27,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,,14.409,365.75,0.536,500014081,SOQUEL DR NEXT EXIT SIGN HWY 1 N,3.0,Mainline,radars,No,1,,36.985169,-121.978252,N,14.409,365.75,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,15.001,366.342,0.803,500014092,SOQUEL AVE AT HWY 1 SB VDS MLNB,2.0,Mainline,radars,No,1,,36.987544,-121.988535,N,15.001,366.342,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,15.002,366.343,,500014093,SOQUEL AVE AT HWY 1 SB VDS ONNB,1.0,On Ramp,,No,1,,36.987546,-121.988553,N,15.002,366.343,1,2026-03-27,d05_text_meta_2026_03_27.txt
SR1-N,5,Santa Cruz,Santa Cruz,15.582,366.923,,500014101,EAST OF MORRISSEY BLVD AT HWY 1,1.0,Off Ramp,radars,No,1,,36.988313,-121.998987,N,15.582,366.923,1,2026-03-27,d05_text_meta_2026_03_27.txt
